path,phase_hint,lines,functions,classes,imports,risks,parse_ok
core\telemetry\emitter.py,Unclassified,20,0,0,,,True
core\telemetry\event.py,Unclassified,48,0,0,,,True
core\telemetry\sink.py,Unclassified,11,0,0,,,True
core\telemetry\types.py,Unclassified,21,0,0,,,True
core\telemetry\metrics_history_store.py,Phase C,53,0,0,,,True
core\strategy_intake\gates.py,Phase D,20,0,0,,,True
core\strategy_intake\tests\__init__.py,Phase D,1,0,0,,,True
core\telemetry\__init__.py,Unclassified,1,0,0,,,True
core\telemetry\metrics_snapshot.py,Unclassified,50,0,0,,,True
core\telemetry\sinks\null.py,Unclassified,8,0,0,,,True
core\telemetry\sinks\__init__.py,Unclassified,1,0,0,,,True
core\tests\test_capital_allocator.py,Unclassified,273,0,0,,,True
core\telemetry\sinks\console.py,Unclassified,10,0,0,,,True
core\tests\screening_tests\test_screening_pipeline_core.py,Unclassified,20,0,0,,,True
core\tests\screening_tests\test_models.py,Unclassified,7,0,0,,,True
core\tests\screening_tests\test_screening_engine_core.py,Unclassified,17,0,0,,,True
core\telemetry\sinks\jsonl.py,Unclassified,17,0,0,,,True
core\tests\screening_tests\__init__.py,Unclassified,1,0,0,,,True
core\tests\screening_tests\test_screening_rules_core.py,Unclassified,22,0,0,,,True
core\tests\watchlist\test_watchlist_models.py,Unclassified,7,0,0,,,True
core\tests\watchlist\test_watchlist_builder_e2e.py,Unclassified,14,0,0,,,True
core\tests\watchlist\test_watchlist_scorer.py,Unclassified,8,0,0,,,True
core\tests\watchlist\test_watchlist_persistence.py,Unclassified,16,0,0,,,True
core\tests\watchlist\test_watchlist_snapshot.py,Unclassified,12,0,0,,,True
core\tests\watchlist\test_watchlist_builder_core.py,Unclassified,14,0,0,,,True
core\tests\watchlist\test_watchlist_persistence_core.py,Unclassified,14,0,0,,,True
core\tests\watchlist\__init__.py,Unclassified,1,0,0,,,True
core\tournament\governance_contracts.py,Unclassified,30,0,0,,,True
core\tournament\live_candidate_store.py,Phase C,53,0,0,,,True
core\tournament\governance_store.py,Phase C,54,0,0,,,True
core\tournament\live_governance_contracts.py,Unclassified,28,0,0,,,True
core\tournament\live_governance_gate.py,Unclassified,39,0,0,,,True
core\tournament\live_candidate_artifact.py,Unclassified,20,0,0,,,True
core\tournament\live_promotion_runner.py,Unclassified,17,0,0,,,True
core\tournament\governance_gate.py,Unclassified,35,0,0,,,True
core\tournament\live_promotion_gate.py,Unclassified,53,0,0,,,True
core\tournament\live_governance_store.py,Phase C,51,0,0,,,True
core\tournament\metrics_builder.py,Unclassified,84,0,0,,,True
core\tournament\live_promotion_persister.py,Unclassified,38,0,0,,,True
core\tournament\metrics_contract.py,Unclassified,58,0,0,,,True
core\tournament\metrics_schema.py,Unclassified,28,0,0,,,True
core\tournament\live_promotion_contracts.py,Unclassified,20,0,0,,,True
core\tournament\paper_store.py,Phase C,64,0,0,,,True
core\tournament\paper_contracts.py,Unclassified,36,0,0,,,True
core\tournament\promotion_artifact.py,Unclassified,27,0,0,,,True
core\tournament\promotion_runner.py,Unclassified,27,0,0,,,True
core\tournament\paper_metrics.py,Unclassified,54,0,0,,,True
core\tournament\promotion_contracts.py,Unclassified,20,0,0,,,True
core\tournament\promotion_schema.py,Unclassified,15,0,0,,,True
core\tournament\promotion_store.py,Phase C,59,0,0,,,True
core\tournament\tournament_engine.py,Unclassified,37,0,0,,,True
core\tournament\promotion_gate.py,Unclassified,52,0,0,,,True
core\tournament\tournament_promoter.py,Unclassified,33,0,0,,,True
core\tournament\promotion_persister.py,Unclassified,47,0,0,,,True
core\tournament\tournament_runner.py,Unclassified,31,0,0,,,True
core\watchlist\builder.py,Unclassified,220,0,0,,,True
core\tournament\tournament_metrics.py,Unclassified,168,0,0,,,True
core\tournament\tournament_store.py,Phase C,32,0,0,,,True
core\watchlist\manager.py,Unclassified,33,0,0,,,True
core\watchlist\models.py,Unclassified,33,0,0,,,True
core\watchlist\persistence.py,Unclassified,72,0,0,,,True
core\watchlist\filters.py,Unclassified,57,0,0,,,True
core\watchlist\ranker.py,Unclassified,14,0,0,,,True
core\watchlist\watchlist_builder.py,Unclassified,54,0,0,,,True
